vietnamese,tai_dam,is_augmented
quạ,ꪀꪱ,False
quạ,ꪚ꫁ꪮꪉ,True
ca,ꪀꪱ,False
lẽo,ꪀꪱ,True
đạt,ꪑꪲ꪿ꪣ,True
tận,ꪀ꪿ꪱ,False
đường,ꪀ꪿ꪱ,True
cả,ꪀ꪿ꪱ,False
Quý,ꪀ꪿ꪱ,False
ươm,ꪀ꫁ꪱ,False
tôi luyện,ꪀ꫁ꪱ,False
"tôi cuộng,",ꪀ꫁ꪱ,True
thướt tha,ꪀ꫁ꪱ ꪀꪮꪉ,False
"anh dũng, dũng cảm",ꪀ꫁ꪱ ꪬꪱꪙ,False
"vái dũng, dũng cảm",ꪀ꫁ꪱ ꪬꪱꪙ,True
mạ không giâm,ꪀ꫁ꪱ ꪶꪠꪉ,False
mạ sặt giâm,ꪀ꫁ꪱ ꪶꪠꪉ,True
mạ giâm,ꪀ꫁ꪱ ꪏꪾ,False
mạ giâm,ꪀ꫁ꪱ ꪶꪉꪉ,True
mạ lát,ꪀ꫁ꪱ ꪏꪾ,True
gan góc,ꪀ꫁ꪱ ꪵꪀ꪿,False
gác,ꪀ꪿ꪱꪀ,False
các,ꪀ꪿ꪱꪀ,False
tấc,ꪀ꪿ꪱꪀ,True
quá,ꪀꪱꪥ,False
cai,ꪀꪱꪥ,False
"qua thì, qua thời",ꪀꪱꪥ ꪹꪣ꪿,False
"qua thì, qua thư",ꪀꪱꪥ ꪹꪣ꪿,True
"qua thì, qua mái",ꪀꪱꪥ ꪹꪣ꪿,True
quá giờ,ꪀꪱꪥ ꪹꪋꪷ,False
quá mức,ꪀꪱꪥ ꪀꪱꪒ,False
rong mức,ꪀꪱꪥ ꪀꪱꪒ,True
"quá đáng, quá tệ",ꪀꪱꪥ ꪹꪁꪷ꪿,False
"quá đáng, quá tệ",ꪀꪱꪥ ꪋꪮꪀ,True
"quá đáng, quá quay,",ꪀꪱꪥ ꪹꪁꪷ꪿,True
"quá kỳ, lỗi thời",ꪀꪱꪥ ꪁꪲ,False
khỏi phải nói,ꪀꪱꪥ ꪫ꪿ꪱ,False
ngớp đủ nói,ꪀꪱꪥ ꪫ꪿ꪱ,True
ruộng phảy nói,ꪀꪱꪥ ꪹꪩꪷ꫁ꪀ,True
bắc,ꪀ꪿ꪱꪥ,False
"gác, đặt",ꪀ꪿ꪱꪥ,False
"gác, đặt",ꪭꪳꪙ,True
"kề, sát",ꪀ꪿ꪱꪥ,False
trạng sát,ꪯꪲꪒ,True
sao chép,ꪀ꪿ꪱꪥ,False
lưu truyền,ꪀ꪿ꪱꪥ ꪋꪸꪙ,False
lưu truyền,ꪀ꪿ꪱꪥ ꪹꪯꪷꪩꪒ,True
tổng truyền,ꪀ꪿ꪱꪥ ꪋꪸꪙ,True
"thay, đổi, cải",ꪀ꫁ꪱꪥ,False
"thay, khảu kềnh",ꪀ꫁ꪱꪥ,True
càng,ꪀ꫁ꪱꪣ,False
lòng trắng,ꪀ꫁ꪱꪣ,False
cùi,ꪀ꫁ꪱꪣ,False
cùi,ꪏꪩꪱꪉ,True
"cuống, cuộng, dọc lá",ꪀ꫁ꪱꪙ,False
"cuống, cuộng, dọc lá",ꪏꪴ꫁ꪥ,True
