Original_Keyword,Vietnamese_Variant,Pidgin_Draft,Target_Output
thuốc độc,Xyanua là một loại thuốc độc cực mạnh.,Xyanua ꪖꪰꪒ ꪒꪸꪫ ꪶꪐ꪿ꪀ ꪤꪱ ꪔꪱꪥ ꪚꪱꪚ ꪵꪭꪉ.,Xyanua ꪚꪱꪚ ꪖꪰꪒ ꪒꪸꪫ ꪶꪐ꪿ꪀ ꪤꪱ ꪔꪱꪥ ꪵꪭꪉ.
thuốc độc,Một loại thuốc độc cực mạnh chính là xyanua.,ꪒꪸꪫ ꪶꪐ꪿ꪀ ꪤꪱ ꪔꪱꪥ ꪚꪱꪚ ꪵꪭꪉ ꪊꪲ꪿ꪉ ꪖꪰꪒ xyanua.,ꪶꪐ꪿ꪀ ꪔꪱꪥ ꪚꪱꪚ ꪒꪸꪫ ꪤꪱ xyanua ꪵꪭꪉ ꪊꪲ꪿ꪉ ꪖꪰꪒ.
thuốc độc,Người ta biết đến xyanua như một loại thuốc độc cực mạnh.,ꪹꪎꪱ꪿ ꪭꪴ꫁ ꪹꪕꪱ꫁ xyanua ꪹꪁꪷ꪿ ꪒꪸꪫ ꪶꪐ꪿ꪀ ꪤꪱ ꪔꪱꪥ ꪚꪱꪚ ꪵꪭꪉ.,ꪭꪴ꫁ ꪹꪕꪱ꫁ xyanua ꪹꪁꪷ꪿ ꪒꪸꪫ ꪶꪐ꪿ꪀ ꪤꪱ ꪔꪱꪥ ꪚꪱꪚ ꪵꪭꪉ ꪹꪎꪱ꪿.
thuốc độc,"Xyanua, một loại thuốc độc, có độc tính cực mạnh.","Xyanua, ꪒꪸꪫ ꪶꪐ꪿ꪀ ꪤꪱ ꪔꪱꪥ, ꪊꪲ꪿ ꪕꪮꪀ ꪊꪱꪫ ꪚꪱꪚ ꪵꪭꪉ.",Xyanua ꪒꪸꪫ ꪶꪐ꪿ꪀ ꪊꪲ꪿ ꪕꪮꪀ ꪊꪱꪫ ꪤꪱ ꪔꪱꪥ ꪚꪱꪚ ꪵꪭꪉ.
nứt,Bức tường này bị nứt.,ꪹꪮ꫁ꪱ ꪵꪊ꫁ꪉ ꪼꪅ꫁ ꪹꪜꪸꪙ ꪵꪔꪀ.,ꪹꪮ꫁ꪱ ꪵꪊ꫁ꪉ ꪹꪜꪸꪙ ꪼꪅ꫁ ꪵꪔꪀ.
nứt,Trên bức tường này có một vết nứt.,ꪹꪕꪸꪉ ꪹꪮ꫁ꪱ ꪵꪊ꫁ꪉ ꪼꪅ꫁ ꪊꪲ꪿ ꪒꪸꪫ ꪋꪾ꫁ ꪵꪔꪀ.,ꪹꪕꪸꪉ ꪹꪮ꫁ꪱ ꪵꪊ꫁ꪉ ꪼꪅ꫁ ꪊꪲ꪿ ꪒꪸꪫ ꪵꪔꪀ ꪋꪾ꫁.
nứt,Có một vết nứt trên bức tường này.,ꪊꪲ꪿ ꪒꪸꪫ ꪋꪾ꫁ ꪵꪔꪀ ꪹꪕꪸꪉ ꪹꪮ꫁ꪱ ꪵꪊ꫁ꪉ ꪼꪅ꫁.,ꪒꪸꪫ ꪊꪲ꪿ ꪼꪅ꫁ ꪹꪮ꫁ꪱ ꪋꪾ꫁ ꪵꪔꪀ ꪹꪕꪸꪉ ꪵꪊ꫁ꪉ.
nứt,Vết nứt đã xuất hiện trên bức tường này.,ꪋꪾ꫁ ꪵꪔꪀ ꪁꪷ꫁ xuất ꪝꪥꪮꪒ ꪹꪕꪸꪉ ꪹꪮ꫁ꪱ ꪵꪊ꫁ꪉ ꪼꪅ꫁.,ꪋꪾ꫁ xuất ꪝꪥꪮꪒ ꪹꪕꪸꪉ ꪹꪮ꫁ꪱ ꪵꪊ꫁ꪉ ꪼꪅ꫁ ꪵꪔꪀ ꪁꪷ꫁.
yểu điệu,Dáng đi của cô ấy thật yểu điệu.,ꪹꪎꪸ꪿ ꪹꪄꪱ꫁ ꪄꪮꪉ ꪮꪱ ꪯ꫁ꪽ ꪊꪲꪉ ꪹꪏꪒ ꪹꪏꪒ.,ꪮꪱ ꪯ꫁ꪽ ꪹꪎꪸ꪿ ꪹꪄꪱ꫁ ꪄꪮꪉ ꪊꪲꪉ ꪹꪏꪒ ꪹꪏꪒ.
yểu điệu,Cô ấy có dáng đi thật yểu điệu.,ꪮꪱ ꪯ꫁ꪽ ꪊꪲ꪿ ꪹꪎꪸ꪿ ꪹꪄꪱ꫁ ꪊꪲꪉ ꪹꪏꪒ ꪹꪏꪒ.,ꪮꪱ ꪯ꫁ꪽ ꪊꪲꪉ ꪊꪲ꪿ ꪹꪎꪸ꪿ ꪹꪄꪱ꫁ ꪹꪏꪒ ꪹꪏꪒ.
